gara,drv,k,freeze_L,pit_P,compound_out,pitloss,residuo,gap_rejoin_sim,dpace_prepit,cambio_davanti
Canada,HUL,1,19,20,MEDIUM,24.37,7.4966,8.2951,0.0000,1
Canada,HUL,3,19,20,MEDIUM,24.37,12.2753,6.0946,0.0000,1
Canada,HUL,5,19,20,MEDIUM,24.37,16.1049,1.1645,0.0000,1
Canada,NOR,1,14,15,MEDIUM,24.37,6.9084,1.2005,-0.4890,1
Canada,NOR,3,14,15,MEDIUM,24.37,6.6852,1.2005,-0.4890,1
Canada,NOR,5,14,15,MEDIUM,24.37,4.6131,1.2005,-0.4890,1
Canada,OCO,1,15,16,MEDIUM,24.37,3.4997,18.7118,1.4929,1
Canada,OCO,3,15,16,MEDIUM,24.37,7.8024,21.6785,1.4929,0
Canada,OCO,5,15,16,MEDIUM,24.37,10.4991,20.5965,1.4929,1
Canada,PER,1,14,15,MEDIUM,24.37,3.4538,2.7675,0.4528,1
Canada,PER,3,14,15,MEDIUM,24.37,7.8939,0.8338,0.4528,1
Canada,PER,5,14,15,MEDIUM,24.37,8.6293,0.8338,0.4528,0
Canada,PIA,1,11,12,MEDIUM,24.37,14.7726,2.6204,-0.8756,1
Canada,PIA,3,11,12,MEDIUM,24.37,21.2178,1.3062,-0.8756,1
Canada,PIA,5,11,12,MEDIUM,24.37,23.9568,1.3062,-0.8756,1
Canada,STR,1,13,14,SOFT,24.37,1.2294,29.0728,2.3529,0
Canada,STR,3,13,14,SOFT,24.37,7.9777,33.0455,2.3529,0
Canada,STR,5,13,14,SOFT,24.37,11.2711,37.0183,2.3529,0
Cina,COL,1,31,32,MEDIUM,22.97,10.6229,1.2989,-0.0399,1
Cina,COL,3,31,32,MEDIUM,22.97,10.2246,1.2989,-0.0399,1
Cina,COL,5,31,32,MEDIUM,22.97,9.7913,1.2989,-0.0399,1
Cina,HUL,1,34,35,MEDIUM,22.97,20.5264,2.8494,0.2574,1
Cina,HUL,3,34,35,MEDIUM,22.97,19.6999,2.1089,0.2574,1
Cina,HUL,5,34,35,MEDIUM,22.97,20.0623,1.3683,0.2574,1
Cina,LIN,1,41,42,MEDIUM,22.97,3.4067,10.5526,0.9008,1
Cina,LIN,3,41,42,MEDIUM,22.97,1.5604,10.7531,0.9008,1
Cina,LIN,5,41,42,MEDIUM,22.97,-0.4819,10.9537,0.9008,1
Cina,OCO,1,28,29,MEDIUM,22.97,7.3946,1.6246,-0.0714,1
Cina,OCO,1,45,46,SOFT,22.97,27.1679,6.2641,0.9716,1
Cina,OCO,3,28,29,MEDIUM,22.97,7.5179,0.9164,-0.0714,1
Cina,OCO,3,45,46,SOFT,22.97,26.0757,4.1293,0.9716,1
Cina,OCO,5,28,29,MEDIUM,22.97,19.7941,0.9164,-0.0714,1
Cina,OCO,5,45,46,SOFT,22.97,24.6796,1.9944,0.9716,1
Giappone,BEA,1,15,16,HARD,23.72,3.7533,4.1382,0.1662,1
Giappone,BEA,3,15,16,HARD,23.72,6.9506,1.8555,0.1662,1
Giappone,BOT,1,18,19,MEDIUM,23.72,5.7743,34.1028,2.0527,0
Giappone,COL,1,16,17,HARD,23.72,3.7288,0.8554,0.0003,1
Giappone,COL,3,16,17,HARD,23.72,5.1689,0.8554,0.0003,1
Giappone,HAD,1,18,19,HARD,23.72,1.2818,12.3175,0.0310,0
Giappone,LEC,1,16,17,HARD,23.72,2.3871,8.9680,-1.4186,1
Giappone,LEC,3,16,17,HARD,23.72,5.4013,7.8050,-1.4186,1
Giappone,LIN,1,17,18,HARD,23.72,5.6863,11.8914,0.0120,1
Giappone,NOR,1,15,16,HARD,23.72,3.3357,2.2214,-1.4564,1
Giappone,NOR,3,15,16,HARD,23.72,5.8390,1.0402,-1.4564,0
Giappone,OCO,1,18,19,HARD,23.72,4.0835,7.6857,-0.3089,1
Giappone,PIA,1,17,18,HARD,23.72,3.0735,2.3950,-1.7226,1
